iter	Logloss
0	0.5544003975
1	0.4646909295
2	0.3997209208
3	0.3563902791
4	0.3260359617
5	0.3074388579
6	0.2936200047
7	0.284021184
8	0.276933598
9	0.2715781969
10	0.2675729389
11	0.2640976227
12	0.2615570524
13	0.2594709121
14	0.2577923734
15	0.2563770944
16	0.2552286877
17	0.2542237266
18	0.2533303494
19	0.2524723379
20	0.2517785513
21	0.2512184318
22	0.2507420273
23	0.2503332305
24	0.2499909277
25	0.2496568823
26	0.2494012553
27	0.2491408205
28	0.2489249051
29	0.2486598255
30	0.2484455943
31	0.2482528215
32	0.2481245054
33	0.2479846182
34	0.2478734146
35	0.2477585712
36	0.247664643
37	0.2475022379
38	0.2474253135
39	0.2473430109
40	0.2472212139
41	0.2471168281
42	0.247063508
43	0.2470202923
44	0.2469174276
45	0.2468575884
46	0.2467576845
47	0.2466702481
48	0.2466105176
49	0.2465621411
50	0.2464869551
51	0.2464494164
52	0.2463874314
53	0.2463583403
54	0.2463074376
55	0.2462187246
56	0.2461896606
57	0.2461372369
58	0.2460834278
59	0.2460403208
60	0.245983551
61	0.2459238205
62	0.245874113
63	0.2458384213
64	0.245810471
65	0.2457452809
66	0.24571858
67	0.245664608
68	0.2456273681
69	0.2456016995
70	0.2455589184
71	0.2455240688
72	0.2454746872
73	0.24544891
74	0.2454072426
75	0.2453649776
76	0.2453262438
77	0.2452795513
78	0.2452498354
79	0.2452276708
80	0.2452118621
81	0.2451793485
82	0.2451591939
83	0.2451243986
84	0.2451049502
85	0.2450778691
86	0.2450671399
87	0.2450540476
88	0.245014852
89	0.2449729673
90	0.244958897
91	0.2449135627
92	0.2449029421
93	0.2448737695
94	0.2448375618
95	0.244824904
96	0.2448149082
97	0.2447809822
98	0.2447461597
99	0.2447106854
100	0.2446900962
101	0.2446572838
102	0.2446258838
103	0.2445991287
104	0.2445687338
105	0.2445570267
106	0.2445326619
107	0.2445256268
108	0.2445106058
109	0.2444914291
110	0.2444636961
111	0.2444560362
112	0.2444448452
113	0.244426755
114	0.2444147219
115	0.2444014123
116	0.2443805786
117	0.2443679751
118	0.2443548285
119	0.2443340219
120	0.2443224507
121	0.2442944189
122	0.2442868948
123	0.2442761928
124	0.2442651919
125	0.2442383282
126	0.2442328413
127	0.2442192872
128	0.2442079332
129	0.2441964978
130	0.2441772395
131	0.2441560799
132	0.2441436394
133	0.2441311989
134	0.2441249244
135	0.2441087898
136	0.2440975174
137	0.2440858374
138	0.2440743477
139	0.2440692411
140	0.244038656
141	0.2440225215
142	0.2440032632
143	0.2439738733
144	0.2439599389
145	0.2439381545
146	0.2439342703
147	0.2439253609
148	0.2439154466
149	0.2439019468
150	0.2438841553
151	0.2438669614
152	0.2438628055
153	0.2438280917
154	0.2438064703
155	0.2437836266
156	0.2437774064
157	0.2437680624
158	0.2437581753
159	0.2437500808
160	0.2437348426
161	0.2437207181
162	0.2437072997
163	0.243700156
164	0.243694479
165	0.2436887477
166	0.2436764431
167	0.243664736
168	0.2436531376
169	0.2436482483
170	0.2436434949
171	0.2436367042
172	0.2436272788
173	0.2436146754
174	0.2436037017
175	0.2436002249
176	0.2435927823
177	0.2435819988
178	0.2435778972
179	0.2435566289
180	0.24354044
181	0.2435288959
182	0.2435216978
183	0.243504857
184	0.2434962193
185	0.2434890213
186	0.2434803292
187	0.2434720175
188	0.2434673999
189	0.2434629452
190	0.2434586263
191	0.2434426819
192	0.243436842
193	0.2434196752
194	0.243415628
195	0.2434086744
196	0.2434048988
197	0.2433976464
198	0.2433841466
199	0.2433681478
200	0.2433638833
201	0.2433545665
202	0.2433519046
203	0.2433472326
204	0.2433391925
205	0.2433221344
206	0.2433160228
207	0.2433104001
208	0.2432930161
209	0.2432893492
210	0.243277126
211	0.2432693303
212	0.2432653374
213	0.2432572973
214	0.2432493658
215	0.2432444766
216	0.2432367081
217	0.2432331498
218	0.2432287494
219	0.24322367
220	0.2432138915
221	0.2432094368
222	0.2431980557
223	0.2431924874
224	0.2431887118
225	0.2431852893
226	0.2431793407
227	0.2431736366
228	0.243171029
229	0.2431627444
230	0.2431607072
231	0.2431555735
232	0.2431449529
233	0.2431406884
234	0.2431363152
235	0.2431257218
236	0.2431182521
237	0.2431073327
238	0.2431035028
239	0.2430985049
240	0.24308984
241	0.2430823703
242	0.2430792194
243	0.2430767748
244	0.2430681914
245	0.2430642257
246	0.2430543657
247	0.2430484986
248	0.2430444785
249	0.2430421697
250	0.2430292675
251	0.2430252474
252	0.2430199507
253	0.2430150886
254	0.2430061793
255	0.2429987367
256	0.2429925165
257	0.2429883878
258	0.2429839603
259	0.2429784734
260	0.2429743176
261	0.2429710309
262	0.2429678529
263	0.2429639143
264	0.2429599486
265	0.2429522887
266	0.2429485674
267	0.2429446017
268	0.24294232
269	0.2429290919
270	0.2429171947
271	0.2429137722
272	0.2429111917
273	0.2429039936
274	0.2428967141
275	0.2428876146
276	0.242880824
277	0.2428692527
278	0.242864119
279	0.2428612398
280	0.2428553455
281	0.2428513254
282	0.2428414111
283	0.2428360057
284	0.2428312251
285	0.2428272322
286	0.242820849
287	0.2428163943
288	0.2428119668
289	0.2428073764
290	0.2428009932
291	0.2427943655
292	0.2427868414
293	0.2427838807
294	0.24277891
295	0.2427738034
296	0.2427689413
297	0.2427664967
298	0.2427617161
299	0.2427586467
300	0.2427560934
301	0.2427505794
302	0.2427477817
303	0.2427436801
304	0.2427354227
305	0.2427310767
306	0.2427274369
307	0.2427230909
308	0.2427169521
309	0.2427098355
310	0.2427040771
311	0.2427003286
312	0.2426964987
313	0.2426929404
314	0.2426887845
315	0.2426845743
316	0.242682347
317	0.2426779195
318	0.2426745785
319	0.2426670273
320	0.2426630344
321	0.2426598292
322	0.2426560808
323	0.2426497248
324	0.2426465196
325	0.2426446725
326	0.2426358175
327	0.2426318246
328	0.242624708
329	0.2426196558
330	0.2426184878
331	0.2426162333
332	0.2426130553
333	0.2426090895
334	0.2426062103
335	0.2426011037
336	0.2425983875
337	0.242595807
338	0.2425839913
339	0.2425818998
340	0.2425777711
341	0.2425744029
342	0.2425726645
343	0.2425699211
344	0.2425642441
345	0.242555036
346	0.242550527
347	0.242543003
348	0.2425395262
349	0.2425364025
350	0.2425330615
351	0.2425300736
352	0.2425266511
353	0.242521626
354	0.2425168997
355	0.242514102
356	0.2425110598
357	0.24250943
358	0.2425066594
359	0.2425038617
360	0.2424954141
361	0.2424927522
362	0.2424902804
363	0.2424874012
364	0.2424834626
365	0.2424800944
366	0.2424736298
367	0.2424672737
368	0.2424647748
369	0.2424595052
370	0.2424558383
371	0.242451791
372	0.2424435608
373	0.2424404642
374	0.2424367973
375	0.2424282682
376	0.2424234333
377	0.2424193318
378	0.2424142795
379	0.2424082494
380	0.2424056147
381	0.2424025453
382	0.2423976017
383	0.2423939347
384	0.242388964
385	0.2423872799
386	0.242385297
387	0.242382282
388	0.2423792398
389	0.2423772026
390	0.2423739974
391	0.2423695971
392	0.24236574
393	0.2423643547
394	0.2423622903
395	0.2423605248
396	0.242358053
397	0.2423548206
398	0.2423510722
399	0.2423471608
400	0.242342516
401	0.2423387947
402	0.2423360785
403	0.2423340684
404	0.2423310262
405	0.2423290162
406	0.2423272778
407	0.2423245887
408	0.2423212205
409	0.2423182326
410	0.2423154621
411	0.2423122025
412	0.2423081553
413	0.2423062811
414	0.2423041353
415	0.2423002782
416	0.2422944925
417	0.2422900922
418	0.24228705
