iter	Passed	Remaining
0	515	2371406
1	1024	2355966
2	1395	2138585
3	1769	2032815
4	2340	2150670
5	2963	2269316
6	3549	2328937
7	4198	2410145
8	4722	2408767
9	5245	2407481
10	5913	2467031
11	6582	2516537
12	7252	2559080
13	7726	2530900
14	8262	2525613
15	8913	2553676
16	9520	2566542
17	10144	2582400
18	10870	2620957
19	11527	2639745
20	12146	2648591
21	12688	2640407
22	13162	2619287
23	13771	2625716
24	14291	2615364
25	15120	2660072
26	15729	2664114
27	16465	2688573
28	17101	2695616
29	17721	2699645
30	18276	2693780
31	19141	2732504
32	19510	2700121
33	19870	2668514
34	20306	2648583
35	20875	2646520
36	21320	2629311
37	21897	2628894
38	22337	2612307
39	22699	2587721
40	23540	2617632
41	24053	2610400
42	24538	2600483
43	24938	2582226
44	25332	2564208
45	25869	2561050
46	26462	2563457
47	26833	2544711
48	27380	2543040
49	27940	2542601
50	28414	2534423
51	28909	2528449
52	29378	2520487
53	29942	2520738
54	30340	2507203
55	30858	2503943
56	31324	2496600
57	32068	2511318
58	32497	2501222
59	33025	2498959
60	33607	2500705
61	34129	2498051
62	34652	2495564
63	35213	2495774
64	35589	2483085
65	36124	2481614
66	36526	2471263
67	37130	2474646
68	37662	2473196
69	38095	2465310
70	38570	2460359
71	39103	2459153
72	39605	2456065
73	40233	2460749
74	40631	2451414
75	41107	2446954
76	41603	2443819
77	42080	2439593
78	42554	2435322
79	43048	2432254
80	43444	2423754
81	44064	2427822
82	44694	2432359
83	45187	2429348
84	45846	2435235
85	46381	2434510
86	46909	2433339
87	47335	2427002
88	47817	2423644
89	48442	2427505
90	48880	2422019
91	49472	2424175
92	49977	2422041
93	50439	2417866
94	50915	2414487
95	51423	2412632
96	51939	2411156
97	52317	2403384
98	52770	2399203
99	53305	2398730
100	53713	2392665
101	54298	2394437
102	54969	2399980
103	55451	2397223
104	55901	2393111
105	56445	2393080
106	56866	2387857
107	57462	2389996
108	58066	2392426
109	58641	2393646
110	59169	2392885
111	59580	2387455
112	60030	2383676
113	60433	2378123
114	60950	2377062
115	61375	2372496
116	61853	2369979
117	62280	2365613
118	62871	2367437
119	63376	2366061
120	63816	2362276
121	64345	2361808
122	64873	2361293
123	65394	2360521
124	65801	2355702
125	66277	2353372
126	66808	2353038
127	67207	2348046
128	67735	2347630
129	68209	2345361
130	68710	2344024
131	69228	2343276
132	69772	2343400
133	70390	2346005
134	70855	2343478
135	71441	2344967
136	71848	2340587
137	72371	2340016
138	72854	2338161
139	73273	2334289
140	73786	2333427
141	74288	2332234
142	74921	2335145
143	75471	2335437
144	75932	2332960
145	76484	2333286
146	76927	2330312
147	77430	2329184
148	77897	2326979
149	78495	2328702
150	79038	2328756
151	79631	2330281
152	80155	2329758
153	80845	2334029
154	81342	2332701
155	81864	2332089
156	82272	2328245
157	82670	2324188
158	83317	2327114
159	83885	2327815
160	84492	2329576
161	84950	2327233
162	85489	2327086
163	86056	2327735
164	86536	2325991
165	87025	2324531
166	87427	2320763
167	87880	2318366
168	88368	2316933
169	88815	2314428
170	89284	2312521
171	89728	2309994
172	90261	2309764
173	90877	2311618
174	91351	2309896
175	91920	2310541
176	92424	2309557
177	92948	2309079
178	93364	2305946
179	93920	2306278
180	94429	2305426
181	94953	2304974
182	95619	2307926
183	96186	2308485
184	96612	2305638
185	97189	2306424
186	97659	2304658
187	98179	2304092
188	98614	2301533
189	98982	2297443
190	99488	2296580
191	100121	2298620
192	100687	2299129
193	101313	2300973
194	101959	2303239
195	102481	2302705
196	102939	2300718
197	103472	2300441
198	104109	2302441
199	104561	2300343
200	104958	2297078
201	105477	2296474
202	105947	2294827
203	106430	2293469
204	106902	2291889
205	107305	2288844
206	107851	2288842
207	108420	2289347
208	108880	2287524
209	109252	2283893
210	109865	2285309
211	110339	2283829
212	110710	2280228
213	111370	2282566
214	111846	2281146
215	112315	2279578
216	112776	2277874
217	113370	2278844
218	114004	2280608
219	114509	2279779
220	115098	2280616
221	115534	2278424
222	115981	2276458
223	116576	2277413
224	117097	2276888
225	117558	2275220
226	118032	2273809
227	118591	2274045
228	119142	2274122
229	119838	2276939
230	120264	2274611
231	120851	2275335
232	121531	2277796
233	121983	2275980
234	122465	2274724
235	122848	2271653
236	123349	2270767
237	123825	2269434
238	124176	2265822
239	124611	2263770
240	125193	2264396
241	125840	2266160
242	126235	2263416
243	126702	2261950
244	127126	2259733
245	127690	2260012
246	128140	2258284
247	128555	2255944
248	129092	2255754
249	129626	2255497
250	130206	2256045
251	130880	2258204
252	131249	2255112
253	131876	2256442
254	132503	2257760
255	133034	2257429
256	133526	2256433
257	134148	2257651
258	134615	2256237
259	135140	2255813
260	135655	2255209
261	136223	2255492
262	136749	2255060
263	137174	2252979
264	137844	2254934
265	138382	2254698
266	139114	2257615
267	139535	2255482
268	140021	2254404
269	140626	2255229
270	141240	2256204
271	141605	2253197
272	142253	2254685
273	142889	2255989
274	143498	2256837
275	143975	2255623
276	144607	2256818
277	145176	2257032
278	145718	2256806
279	146339	2257815
280	146918	2258146
281	147559	2259445
282	148229	2261149
283	148852	2262133
284	149428	2262394
285	149897	2261044
286	150369	2259740
287	150764	2257283
288	151330	2257385
289	151725	2254947
290	152210	2253864
291	152827	2254724
292	153363	2254388
293	153881	2253794
294	154468	2254199
295	154923	2252666
296	155468	2252459
297	156038	2252609
298	156442	2250367
299	156946	2249560
300	157579	2250608
301	158138	2250598
302	158584	2248975
303	159198	2249725
304	159796	2250255
305	160363	2250323
306	160854	2249347
307	161228	2246724
308	161753	2246224
309	162205	2244715
310	162745	2244424
311	163405	2245783
312	163954	2245595
313	164595	2246680
314	165145	2246496
315	165535	2244163
316	166092	2244082
317	166558	2242781
318	167129	2242893
319	167530	2240720
320	167881	2237897
321	168352	2236683
322	168788	2235008
323	169379	2235393
324	169930	2235238
325	170463	2234849
326	170921	2233475
327	171473	2233333
328	171959	2232340
329	172340	2229985
330	172867	2229520
331	173368	2228730
332	173895	2228270
333	174408	2227628
334	174743	2224721
335	175120	2222366
336	175670	2222207
337	176059	2220021
338	176396	2217178
339	177083	2218752
340	177742	2219951
341	178236	2219102
342	178771	2218747
343	179380	2219317
344	179811	2217674
345	180424	2218283
346	180949	2217803
347	181416	2216622
348	181993	2216775
349	182578	2217026
350	183007	2215385
351	183580	2215483
352	184116	2215136
353	184553	2213598
354	185277	2215502
355	185797	2214959
356	186342	2214703
357	186838	2213880
358	187293	2212565
359	187802	2211898
360	188412	2212407
361	189088	2213697
362	189611	2213178
363	190142	2212758
364	190692	2212550
365	191291	2212916
366	191811	2212367
367	192332	2211824
368	192813	2210824
369	193114	2207770
370	193536	2206104
371	194031	2205284
372	194631	2205652
373	195086	2204370
374	195750	2205454
375	196164	2203717
376	196569	2201889
377	197007	2200438
378	197655	2201327
379	198211	2201192
380	198838	2201839
381	199352	2201230
382	200097	2203167
383	200503	2201358
384	200945	2199966
385	201326	2197900
386	201977	2198783
387	202453	2197766
388	203036	2197906
389	203581	2197636
390	204178	2197918
391	204645	2196805
392	205220	2196847
393	205891	2197916
394	206472	2198015
395	207110	2198713
396	207568	2197510
397	208102	2197097
398	208598	2196295
399	209076	2195301
400	209614	2194938
401	210219	2195282
402	210731	2194636
403	211120	2192723
404	211652	2192300
405	212170	2191733
406	212817	2192495
407	213169	2190208
408	213869	2191512
409	214297	2190011
410	214826	2189554
411	215421	2189769
412	215807	2187859
413	216207	2186093
414	216691	2185189
415	217184	2184372
416	217687	2183662
417	218125	2182300
418	218576	2181067
419	219248	2182042
420	219782	2181642
421	220285	2180931
422	220823	2180571
423	221483	2181406
424	221866	2179514
425	222552	2180599
426	223052	2179859
427	223485	2178460
428	223801	2175938
429	224449	2176637
430	224966	2176069
431	225350	2174216
432	226036	2175275
433	226481	2174011
434	227110	2174513
435	227755	2175165
436	228324	2175090
437	228768	2173825
438	229205	2172495
439	229732	2172013
440	230354	2172438
441	230841	2171577
442	231504	2172382
443	232068	2172242
444	232717	2172898
445	233146	2171507
446	233708	2171346
447	234164	2170198
448	234622	2169083
449	235032	2167523
450	235559	2167046
451	235967	2165474
452	236563	2165630
453	237169	2165868
454	237557	2164122
455	238020	2163066
456	238489	2162064
457	238948	2160968
458	239580	2161440
459	240158	2161430
460	240723	2161290
461	241240	2160717
462	241732	2159927
463	242110	2158125
464	242526	2156664
465	242990	2155628
466	243451	2154573
467	243915	2153543
468	244479	2153396
469	245011	2152974
470	245593	2152981
471	246196	2153177
472	246968	2154836
473	247495	2154362
474	248014	2153814
475	248640	2154183
476	249257	2154485
477	249967	2155574
478	250562	2155675
479	251171	2155890
480	251633	2154840
481	252123	2154032
482	252664	2153667
483	253256	2153725
484	253727	2152760
485	254211	2151905
486	254555	2149867
487	255155	2149994
488	255839	2150829
489	256318	2149937
490	256829	2149315
491	257257	2147994
492	257825	2147845
493	258324	2147125
494	258937	2147347
495	259312	2145605
496	259719	2144121
497	260117	2142574
498	260689	2142459
499	261129	2141259
500	261613	2140423
501	262052	2139222
502	262360	2136959
503	262820	2135941
504	263265	2134794
505	263626	2132977
506	264041	2131598
507	264522	2130758
508	264923	2129277
509	265442	2128745
510	265896	2127690
511	266344	2126592
512	266846	2125931
513	267418	2125817
