iter	Logloss
0	0.5522348154
5	0.3070237739
10	0.2674353126
15	0.2562794019
20	0.2515527435
25	0.2492821691
30	0.248045598
35	0.2473192706
40	0.2467573529
45	0.246420928
50	0.246103517
55	0.2457622898
60	0.2455076786
65	0.2452497645
70	0.2450602131
75	0.2448278101
80	0.2446883465
85	0.2445399954
90	0.2443843429
95	0.2442431193
100	0.2441257117
105	0.2440137367
110	0.2438995018
115	0.2438059321
120	0.2436998025
125	0.2436250945
130	0.243565967
135	0.2434807634
140	0.2434041867
145	0.2433457111
150	0.2432756099
155	0.2432381472
160	0.2431767598
165	0.2431159808
170	0.2430718471
175	0.2430100468
180	0.2429663041
185	0.2429282331
190	0.2428926827
195	0.2428241895
200	0.2427840106
205	0.2427394857
210	0.2427052826
215	0.2426633219
220	0.2426271413
225	0.2425911346
230	0.2425630593
235	0.2425356577
240	0.2424962611
245	0.2424686422
250	0.2424414579
255	0.2424097103
260	0.2423769631
265	0.2423514954
270	0.2423288962
275	0.242309991
280	0.2422801556
285	0.242249212
290	0.2422268952
295	0.2421920837
300	0.2421734828
305	0.2421436474
310	0.2421218956
315	0.2421046419
320	0.2420819557
325	0.2420595086
330	0.2420341061
335	0.24201431
340	0.2419919498
345	0.2419673731
350	0.2419552912
355	0.2419291282
360	0.241910788
365	0.2418880149
370	0.2418667846
375	0.2418463149
380	0.2418314298
385	0.2418102647
390	0.2417882739
395	0.241772411
400	0.2417531798
405	0.2417355785
410	0.241713479
415	0.2416983332
420	0.2416817097
425	0.241662522
430	0.2416483323
435	0.241630166
440	0.2416188229
445	0.241603438
450	0.2415854889
455	0.2415721467
460	0.2415594563
465	0.2415436586
470	0.2415302946
475	0.2415154747
480	0.2415046314
485	0.2414836836
490	0.2414664951
495	0.2414501976
500	0.2414380722
505	0.241423274
510	0.2414069547
515	0.2413966547
520	0.2413827692
525	0.2413647115
530	0.2413458715
535	0.241333116
540	0.2413218598
545	0.2413090608
550	0.2413000428
555	0.2412825284
