iter	Passed	Remaining
0	724	3332377
1	1250	2874598
2	1797	2754171
3	2331	2679141
4	2934	2697030
5	3586	2746209
6	4165	2733316
7	4738	2720125
8	5358	2733678
9	6094	2797437
10	6752	2816868
11	7432	2841531
12	8148	2875242
13	8774	2874241
14	9417	2878664
15	10093	2891672
16	10651	2871644
17	11337	2886001
18	11964	2884604
19	12609	2887673
20	13340	2908828
21	13988	2910820
22	14652	2915815
23	15368	2930338
24	16027	2933063
25	16676	2933811
26	17372	2942317
27	18013	2941294
28	18707	2948615
29	19325	2943877
30	20004	2948435
31	20728	2959047
32	21263	2942719
33	21870	2937106
34	22450	2928139
35	23058	2923327
36	23792	2934145
37	24395	2928700
38	25119	2937710
39	25694	2929175
40	26467	2943092
41	27051	2935727
42	27665	2931850
43	28246	2924820
44	28860	2921283
45	29404	2911086
46	30001	2906300
47	30594	2901420
48	31174	2895376
49	31834	2896899
50	32520	2900699
51	33106	2895552
52	33683	2889803
53	34261	2884306
54	34848	2879724
55	35441	2875836
56	35990	2868492
57	36692	2873382
58	37306	2871366
59	37918	2869145
60	38677	2877981
61	39373	2881855
62	40021	2882175
63	40656	2881560
64	41198	2874378
65	41802	2871676
66	42426	2870446
67	43149	2875784
68	43781	2874977
69	44320	2868171
70	44931	2866149
71	45565	2865587
72	46208	2865547
73	46844	2865122
74	47567	2869914
75	48181	2868043
76	48839	2868825
77	49593	2875170
78	50223	2874194
79	50856	2873403
80	51472	2871669
81	52099	2870540
82	52662	2865970
83	53281	2864501
84	53963	2866394
85	54610	2866425
86	55327	2870030
87	55936	2868023
88	56586	2868098
89	57176	2865166
90	57872	2867527
91	58496	2866320
92	59286	2873183
93	60017	2877022
94	60602	2873848
95	61262	2874240
96	61936	2875236
97	62532	2872687
98	63140	2870652
99	63905	2875766
100	64524	2874197
101	65129	2872069
102	65723	2869492
103	66387	2869981
104	67005	2868494
105	67627	2867157
106	68325	2869015
107	68890	2865339
108	69550	2865588
109	70149	2863384
110	70767	2861927
111	71436	2862554
112	72115	2863557
113	72762	2863249
114	73377	2861727
115	74059	2862790
116	74667	2860971
